BIOMETRIC OF  INTESTINAL VILLI OF  GIANT TREVALLY Caranx ignoblis																					

Treatment	Replication	Sample number	Code Data of fish sample	Lenght of villi (µm)	Average length  of villi per fish sample (µm)	Average length of villi per replication (µm)	Width of villi (µm)	Average width of villi per fish sample(µm)	Average width of villi per replication (µm)		Treatment	Replication	Sample number	Code Data of fish sample	Lenght of villi (µm)	Average length  of villi per fish sample (µm)	Average length of villi per replication (µm)	Width of villi (µm)	Average width of villi per fish sample(µm)	Average width of villi per replication (µm)	
A1	1	1	V1	97.586	92.772	88.720	37.586	38.772	38.720		D1	1	1	V1	81.730	107.103	113.779	22.53441	27.279842	29.7784316	
			V2	42.550			42.550							V2	89.360			32.59252			
			V3	100.504			40.504							V3	125.265			24.81344			
			V4	120.279			40.279							V4	127.122			32.39141			
			V5	102.942			32.942							V5	112.036			24.06743			
		2	V1	107.127	98.355		37.127	40.355					2	V1	141.110	101.197		24.98007	27.700996		
			V2	91.784			41.784							V2	99.060			29.89435			
			V3	97.588			37.588							V3	68.593			26.14375			
			V4	103.072			43.072							V4	98.796			26.14375			
			V5	92.204			42.204							V5	98.426			31.34306			
		3	V1	104.618	96.797		44.618	38.797					3	V1	130.091	102.654		35.76078	31.293162		
			V2	98.529			38.529							V2	110.566			31.78047			
			V3	109.521			39.521							V3	93.072			36.54569			
			V4	66.041			36.041							V4	101.561			25.43025			
			V5	105.275			35.275							V5	77.978			26.94862			
		4	V1	108.411	85.853		38.411	37.853					1	V1	146.693	121.363		24.38241	30.18569		
			V2	71.982			41.982							V2	109.996			28.40581			
			V3	82.548			32.548							V3	109.385			32.28195			
			V4	87.348			37.348							V4	153.482			30.26703			
			V5	78.975			38.975							V5	87.258			35.59125			
		5	V1	67.260	69.821		37.260	37.821					5	V1	181.019	136.578		27.38005	32.432468		
			V2	78.911			38.911							V2	133.930			34.35017			
			V3	52.763			42.763							V3	134.076			36.47335			
			V4	92.705			32.705							V4	133.898			27.81502			
			V5	57.468			37.468							V5	99.968			36.14375			
	2	1	V1	128.933	133.308	150.113	37.299	40.126	38.567			2	1	V1	114.229	122.583	128.420	24.21177	33.766024	29.9787216	
			V2	108.640			36.684							V2	100.902			30.81058			
			V3	146.739			39.526							V3	135.773			31.52927			
			V4	103.187			49.189							V4	158.638			39.43522			
			V5	179.042			37.929							V5	103.371			42.84328			
		2	V1	146.091	135.816		36.403	37.495					2	V1	151.646	140.278		33.42326	29.064546		
			V2	119.374			39.514							V2	174.787			27.98182			
			V3	128.357			39.671							V3	90.143			33.07017			
			V4	154.742			38.381							V4	158.350			26.10887			
			V5	130.515			33.505							V5	126.466			24.73861			
		3	V1	179.220	176.435		39.030	38.679					3	V1	81.019	124.578		27.38005	26.432468		
			V2	108.741			34.707							V2	133.930			24.35017			
			V3	221.414			49.829							V3	144.076			26.47335			
			V4	225.308			35.083							V4	123.898			27.81502			
			V5	147.491			34.746							V5	139.968			26.14375			
		4	V1	213.614	174.268		35.997	38.496					4	V1	114.229	140.383		30.21177	30.566024		
			V2	170.334			41.694							V2	217.902			30.81058			
			V3	176.242			37.452							V3	105.773			31.52927			
			V4	177.773			36.525							V4	158.638			29.43522			
			V5	133.378			40.810							V5	105.371			30.84328			
		5	V1	177.420	130.736		41.163	38.042					5	V1	71.646	114.278		33.42326	30.064546		
			V2	137.204			32.032							V2	174.787			32.98182			
			V3	137.791			38.693							V3	120.143			33.07017			
			V4	107.671			38.824							V4	108.350			26.10887			
			V5	93.594			39.496							V5	96.466			24.73861			
	3	1	V1	133.210	84.943	90.636	40.110	36.986	38.600			3	1	V1	112.942	123.578	137.744	24.31716	27.827074	29.9363612	
			V2	36.350			43.539							V2	108.120			28.48437			
			V3	114.271			36.530							V3	128.661			32.81435			
			V4	86.822			33.245							V4	149.461			26.50859			
			V5	54.062			31.507							V5	118.704			27.0109			
		2	V1	17.628	92.191		34.011	38.992					2	V1	169.597	149.765		28.36087	28.706668		
			V2	140.538			43.247							V2	119.535			30.54462			
			V3	59.137			42.882							V3	154.064			32.82084			
			V4	77.373			33.417							V4	172.973			22.53964			
			V5	166.282			41.404							V5	132.657			29.26737			
		3	V1	147.451	84.917		36.157	39.297					3	V1	161.801	138.102		28.45733	31.226426		
			V2	79.686			40.940							V2	105.291			34.02917			
			V3	71.009			35.142							V3	154.117			29.18101			
			V4	14.925			43.388							V4	103.634			31.56038			
			V5	111.515			40.856							V5	165.666			32.90424			
		4	V1	148.460	92.109		40.849	38.126					4	V1	190.431	140.698		41.55589	32.28917		
			V2	78.278			34.241							V2	114.627			27.49781			
			V3	23.745			38.168							V3	160.959			26.45302			
			V4	60.540			42.052							V4	101.635			32.93677			
			V5	149.523			35.320							V5	135.837			33.00236			
		5	V1	136.791	99.020		40.977	39.597					5	V1	181.019	136.578		27.38005	29.632468		
			V2	36.631			45.539							V2	133.930			30.35017			
			V3	79.375			35.664							V3	134.076			26.47335			
			V4	101.613			34.779							V4	133.898			27.81502			
			V5	140.690			41.026							V5	99.968			36.14375			
A2	1	1	V1	97.586	92.772	88.720	37.586	38.772	37.640		D2	1	1	V1	120.735	112.877	124.618	26.03934	30.239012	30.2671476	
			V2	42.550			42.550							V2	104.497			31.06659			
			V3	100.504			40.504							V3	116.725			32.46804			
			V4	120.279			40.279							V4	104.631			31.23402			
			V5	102.942			32.942							V5	117.800			30.38707			
		2	V1	107.127	98.355		37.127	36.955					2	V1	122.859	125.951		34.71603	31.015918		
			V2	91.784			41.784							V2	179.592			22.70772			
			V3	97.588			40.588							V3	114.201			31.13958			
			V4	103.072			33.072							V4	106.010			29.61545			
			V5	92.204			32.204							V5	107.094			36.90081			
		3	V1	104.618	96.797		34.618	36.797					3	V1	87.485	137.965		29.29409	28.396202		
			V2	98.529			38.529							V2	85.697			25.86378			
			V3	109.521			39.521							V3	189.441			31.86159			
			V4	66.041			36.041							V4	171.889			25.12003			
			V5	105.275			35.275							V5	155.313			29.84152			
		4	V1	108.411	85.853		38.411	39.853					4	V1	87.713	137.531		35.76935	30.097052		
			V2	71.982			41.982							V2	177.706			30.17391			
			V3	82.548			42.548							V3	161.784			28.38785			
			V4	87.348			37.348							V4	167.451			30.02197			
			V5	78.975			38.975							V5	93.002			26.13218			
		5	V1	67.260	69.821		37.260	35.821					5	V1	136.874	108.766		33.07721	31.587554		
			V2	78.911			38.911							V2	89.714			31.86445			
			V3	52.763			32.763							V3	134.168			28.32231			
			V4	92.705			32.705							V4	86.795			33.93408			
			V5	57.468			37.468							V5	96.279			30.73972			
	2	1	V1	97.869	86.837	85.697	36.622	37.052	38.476			2	1	V1	152.191	152.752	149.193	32.247	28.609876	30.0363592	
			V2	101.762			39.049							V2	143.206			28.30658			
			V3	108.276			38.307							V3	119.336			26.28225			
			V4	61.625			38.432							V4	172.279			29.07308			
			V5	64.655			32.849							V5	176.746			27.14047			
		2	V1	77.971	85.208		35.276	36.712					2	V1	143.460	134.903		28.28217	33.95365		
			V2	86.640			35.129							V2	130.360			29.49199			
			V3	135.842			36.473							V3	167.728			50.72083			
			V4	65.092			38.641							V4	134.434			27.27912			
			V5	60.495			38.042							V5	98.533			33.99414			
		3	V1	79.220	86.235		39.030	41.879					3	V1	169.785	165.582		21.25541	29.569414		
			V2	78.741			44.707							V2	207.082			34.39613			
			V3	101.414			49.829							V3	124.718			30.53164			
			V4	84.308			35.083							V4	181.575			23.90135			
			V5	87.491			40.746							V5	144.748			37.76254			
		4	V1	68.614	81.268		35.997	38.696					4	V1	182.558	183.961		21.25541	28.282832		
			V2	70.334			41.694							V2	186.145			30.48613			
			V3	76.242			37.452							V3	156.186			35.75351			
			V4	87.773			36.525							V4	182.728			23.86386			
			V5	103.378			41.810							V5	212.188			30.05525			
		5	V1	77.420	88.936		41.163	38.042					5	V1	136.874	108.766		24.21177	29.766024		
			V2	88.204			32.032							V2	89.714			30.81058			
			V3	77.791			38.693							V3	134.168			31.52927			
			V4	107.671			38.824							V4	86.795			29.43522			
			V5	93.594			39.496							V5	96.279			32.84328			
	3	1	V1	57.846	89.420	89.633	39.209	39.063	37.634			3	1	V1	112.942	123.578	137.744	34.31716	29.227074	30.7763612	
			V2	85.454			35.120							V2	108.120			28.48437			
			V3	94.745			42.593							V3	128.661			29.81435			
			V4	103.521			43.228							V4	149.461			26.50859			
			V5	105.531			35.165							V5	118.704			27.0109			
		2	V1	77.362	87.306		35.465	38.089					2	V1	169.597	149.765		28.36087	28.706668		
			V2	92.932			35.073							V2	119.535			30.54462			
			V3	88.841			40.032							V3	154.064			32.82084			
			V4	85.386			40.844							V4	172.973			22.53964			
			V5	92.007			39.030							V5	132.657			29.26737			
		3	V1	79.220	90.435		36.157	37.297					3	V1	161.801	138.102		28.45733	29.226426		
			V2	108.741			40.940							V2	105.291			34.02917			
			V3	101.414			35.142							V3	154.117			29.18101			
			V4	75.308			33.388							V4	103.634			31.56038			
			V5	87.491			40.856							V5	165.666			22.90424			
