Treatment	Replication	Avg_Length_Villi	Avg_Width_Villi	Length_SD	Width_SD	Morphological_Index
A1	1	88.720	38.720	12.345	3.456	127.440
A1	2	88.720	38.720	11.234	2.987	127.440
A1	3	88.720	38.720	13.567	4.123	127.440
A2	1	88.720	37.640	10.987	3.234	126.360
A2	2	88.720	37.640	12.456	3.567	126.360
A2	3	88.720	37.640	11.123	2.890	126.360
A3	1	95.167	38.442	13.789	3.789	133.609
A3	2	95.167	38.442	12.234	3.234	133.609
A3	3	95.167	38.442	14.567	4.012	133.609
A4	1	95.331	37.809	12.890	3.456	133.140
A4	2	95.331	37.809	11.567	3.123	133.140
A4	3	95.331	37.809	13.234	3.789	133.140
B1	1	104.379	24.185	15.234	2.567	128.564
B1	2	104.379	24.185	14.567	2.890	128.564
B1	3	104.379	24.185	16.123	2.234	128.564
B2	1	119.659	24.766	17.890	2.789	144.425
B2	2	119.659	24.766	16.234	2.456	144.425
B2	3	119.659	24.766	18.567	3.123	144.425
B3	1	120.888	25.045	18.234	2.567	145.933
B3	2	120.888	25.045	17.456	2.890	145.933
B3	3	120.888	25.045	19.123	2.234	145.933
B4	1	107.921	23.741	16.567	2.456	131.662
B4	2	107.921	23.741	15.234	2.789	131.662
B4	3	107.921	23.741	17.890	2.123	131.662
C1	1	135.975	22.350	20.456	2.123	158.325
C1	2	135.975	22.350	19.234	2.567	158.325
C1	3	135.975	22.350	21.789	1.890	158.325
C2	1	133.345	24.433	19.567	2.789	157.778
C2	2	133.345	24.433	20.123	2.234	157.778
C2	3	133.345	24.433	18.890	3.123	157.778
C3	1	131.892	24.339	18.234	2.567	156.231
C3	2	131.892	24.339	19.456	2.890	156.231
C3	3	131.892	24.339	17.789	2.234	156.231
C4	1	124.947	23.637	17.123	2.456	148.584
C4	2	124.947	23.637	18.567	2.789	148.584
C4	3	124.947	23.637	16.234	2.123	148.584
D1	1	113.779	29.778	14.890	3.234	143.557
D1	2	113.779	29.778	15.567	3.567	143.557
D1	3	113.779	29.778	13.234	2.890	143.557
D2	1	124.618	30.267	16.234	3.456	154.885
D2	2	124.618	30.267	17.567	3.789	154.885
D2	3	124.618	30.267	15.123	3.123	154.885
D3	1	133.350	30.757	18.567	3.567	164.107
D3	2	133.350	30.757	19.234	3.890	164.107
D3	3	133.350	30.757	17.890	3.234	164.107
D4	1	133.350	30.357	18.234	3.456	163.707
D4	2	133.350	30.357	19.567	3.789	163.707
D4	3	133.350	30.357	17.123	3.123	163.707
E1	1	110.057	24.391	15.789	2.789	134.448
E1	2	110.057	24.391	16.234	2.456	134.448
E1	3	110.057	24.391	14.567	3.123	134.448
E2	1	128.888	24.187	17.456	2.567	153.075
E2	2	128.888	24.187	18.123	2.890	153.075
E2	3	128.888	24.187	16.789	2.234	153.075
E3	1	110.057	24.948	15.234	2.789	134.005
E3	2	110.057	24.948	16.567	2.456	134.005
E3	3	110.057	24.948	14.890	3.123	134.005
E4	1	131.777	24.374	18.890	2.567	156.151
E4	2	131.777	24.374	19.234	2.890	156.151
E4	3	131.777	24.374	17.456	2.234	156.151
