"Category","Species","Weight","Height","Width","Length1","Length2","Length3"
1,Bream,242.0,11.5200,4.0200,23.2,25.4,30.0
1,Bream,290.0,12.4800,4.3056,24.0,26.3,31.2
1,Bream,340.0,12.3778,4.6961,23.9,26.5,31.1
1,Bream,363.0,12.7300,4.4555,26.3,29.0,33.5
1,Bream,430.0,12.4440,5.1340,26.5,29.0,34.0
1,Bream,450.0,13.6024,4.9274,26.8,29.7,34.7
1,Bream,500.0,13.5264,5.2785,27.6,30.0,35.0
1,Bream,390.0,13.6016,4.6906,27.6,30.0,35.0
1,Bream,450.0,13.3176,4.8437,27.6,30.0,35.0
1,Bream,500.0,14.1797,4.9566,28.5,31.2,36.2
1,Bream,475.0,14.3218,5.1049,28.4,31.0,36.0
1,Bream,500.0,14.3200,5.1694,28.7,31.0,36.2
1,Bream,500.0,14.1020,4.6961,28.9,31.3,36.5
1,Bream,340.0,12.0054,4.4555,27.0,29.7,34.0
1,Bream,600.0,15.1206,6.0216,28.7,31.5,36.2
1,Bream,600.0,15.5643,6.0336,29.0,32.0,37.3
1,Bream,700.0,15.3036,5.6755,29.0,32.0,37.3
1,Bream,700.0,16.1500,5.8915,30.0,33.5,38.3
1,Bream,610.0,15.5210,6.2484,30.0,33.0,38.5
1,Bream,650.0,15.5782,6.0053,31.0,34.0,39.0
1,Bream,575.0,16.3833,5.8013,31.2,34.0,39.0
1,Bream,500.0,16.2744,5.1974,31.2,34.0,39.0
1,Bream,500.0,14.1890,4.8437,31.1,33.5,38.6
1,Bream,600.0,14.9335,6.0715,29.0,32.0,37.9
1,Bream,700.0,15.7174,6.3182,30.0,33.5,38.3
1,Bream,700.0,16.3247,6.5330,31.5,35.0,39.6
1,Bream,610.0,16.2993,5.7876,31.5,35.0,39.6
1,Bream,650.0,16.0489,6.2630,32.0,35.5,40.5
1,Bream,575.0,15.8975,5.5336,31.5,35.0,40.0
1,Bream,500.0,13.8190,4.5509,30.0,33.0,38.0
