fold,method,accuracy
1,KNN,0.9399509803921569
1,NaiveBayes,0.928921568627451
1,LDA,0.9191176470588235
1,QDA,0.9350490196078431
2,KNN,0.9364303178484108
2,NaiveBayes,0.9144254278728606
2,LDA,0.9070904645476773
2,QDA,0.9388753056234719
3,KNN,0.943558282208589
3,NaiveBayes,0.9226993865030675
3,LDA,0.9276073619631902
3,QDA,0.9349693251533743
4,KNN,0.9350490196078431
4,NaiveBayes,0.9362745098039216
4,LDA,0.9338235294117647
4,QDA,0.9522058823529411
5,KNN,0.9374233128834356
5,NaiveBayes,0.939877300613497
5,LDA,0.9312883435582822
5,QDA,0.9447852760736196
