fold,method,accuracy
1,SVM_linear,0.9350490196078431
1,SVM_polynomial,0.9276960784313726
1,SVM_radial,0.9375
1,KSVM_linear,0.9350490196078431
1,KSVM_polynomial,0.9350490196078431
1,KSVM_radial,0.946078431372549
2,SVM_linear,0.9461444308445532
2,SVM_polynomial,0.9290085679314566
2,SVM_radial,0.9436964504283966
2,KSVM_linear,0.9461444308445532
2,KSVM_polynomial,0.9461444308445532
2,KSVM_radial,0.9461444308445532
3,SVM_linear,0.9215686274509803
3,SVM_polynomial,0.9068627450980392
3,SVM_radial,0.9191176470588235
3,KSVM_linear,0.9215686274509803
3,KSVM_polynomial,0.9215686274509803
3,KSVM_radial,0.928921568627451
4,SVM_linear,0.9250614250614251
4,SVM_polynomial,0.9164619164619164
4,SVM_radial,0.9238329238329238
4,KSVM_linear,0.9250614250614251
4,KSVM_polynomial,0.9250614250614251
4,KSVM_radial,0.9336609336609336
5,SVM_linear,0.9253365973072215
5,SVM_polynomial,0.9179926560587516
5,SVM_radial,0.9241126070991432
5,KSVM_linear,0.9253365973072215
5,KSVM_polynomial,0.9253365973072215
5,KSVM_radial,0.9314565483476133
