fold,method,accuracy
1,svm_linear,0.9326805385556916
1,svm_poly,0.9351285189718482
1,svm_rbf,0.9290085679314566
1,ksvm_rbf,0.9363525091799265
2,svm_linear,0.9363525091799265
2,svm_poly,0.9388004895960832
2,svm_rbf,0.9326805385556916
2,ksvm_rbf,0.9375764993880049
3,svm_linear,0.9301470588235294
3,svm_poly,0.9375
3,svm_rbf,0.9252450980392157
3,ksvm_rbf,0.9375
4,svm_linear,0.9337423312883436
4,svm_poly,0.9423312883435583
4,svm_rbf,0.9276073619631902
4,ksvm_rbf,0.943558282208589
5,svm_linear,0.9165644171779141
5,svm_poly,0.9263803680981595
5,svm_rbf,0.9165644171779141
5,ksvm_rbf,0.9239263803680982
